id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
FE371D4F,WE,Denmark,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,5.6,5.9,6.1,28,29.9,32.4,6.9,6.2,,
D71450C2,WE,Denmark,Footwear,Women's Footwear,Nike Inc,4.9,5,5.1,24.2,25.2,26.8,4.3,4.5,,
EF062471,WE,Denmark,Footwear,Women's Footwear,adidas Group,2.4,2.7,3,11.7,13.7,15.9,16.9,14.4,,
22DB41A0,WE,Denmark,Footwear,Women's Footwear,Asics Corp,2.9,3,3,14.6,15,15.7,3.2,2.7,,
B7AEF6E1,WE,Denmark,Footwear,Women's Footwear,Inditex, Industria de Diseño Textil SA,0.5,0.5,0.4,2.3,2.3,2.3,-1.4,-0.9,,
B732C783,WE,Denmark,Footwear,Women's Footwear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0,,
84635E2E,WE,France,Footwear,Children's Footwear,Nike Inc,10.3,11.2,11.9,182.8,195.3,209.5,7.1,5.4,,
74E4C4F8,WE,France,Footwear,Children's Footwear,adidas Group,5.3,5.8,6.6,93.7,101.2,115.8,8.2,12.5,,
D01F9999,WE,France,Footwear,Children's Footwear,Skechers USA Inc,0.3,0.4,0.4,6,6.4,7.1,8,7.7,,
5FF6ABA1,WE,France,Footwear,Children's Footwear,New Balance Athletic Shoe Inc,0.3,0.3,0.3,5.5,5.7,6.1,5.1,4.9,,
521507C3,WE,France,Footwear,Children's Footwear,H&M Hennes & Mauritz AB,0.2,0.2,0.2,3.9,4,4.1,2.4,2.5,,
741F30A2,WE,France,Footwear,Children's Footwear,Deckers Outdoor Corp,0.1,0.1,0.1,2.5,2.5,2.6,2.7,2.4,,
2EB285E3,WE,France,Footwear,Children's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
